speaker,speaker_id,コンテンツ数
バラット・アリ・バトー,452,1
フレッド・ヤンセン,453,1
ダン・アリエリー,454,5
ベル・ペシ,455,1
ビル・ゲイツ,456,5
ボニファス・ムワンギ,457,1
ダニエル・キッシュ,458,1
デイム・ステファニー・シャーリー,459,1
シアスター・ゲイツ,460,1
デイヴ・アイセイ,461,1
アナンド・ギリダラダス,462,1
フェイフェイ・リー,463,1
モニカ・ルインスキー,464,1
ジョゼフ・デシモン,465,1
デイヴィッド・イーグルマン,466,1
ロビン・スタイン＝デルーカ,467,1
ヴィンセント・クシュテル,468,1
リンダ・ヒル,469,1
高橋晋平,470,1
イスマエル・ナザリオ,471,1
マーク・クシュナー,472,1
イローナ・サボー・デ・カルバーリョ,473,1
アンディ・エン,474,1
ハリー・ベーカー,475,1
トーファー・ホワイト,476,1
ヘルダー・ギマレス,477,1
ベン・ウェリントン,478,1
カリーダ・ブロヒ,479,1
ロブ・ナイト,480,1
ジェームズ・ホワイト・シニア,481,1
アンジェロ・フェルマーレン,482,1
ローラ・ブシュナク,483,1
ナディン・バーク・ハリス,484,1
ガイ・ウィンチ,485,1
ハンナ・フライ,486,1
ケネス・シノヅカ,487,1
リカルド・セムラー,488,1
ジャープ・デ＝ローデ,489,1
ブライアン・デットマー,490,1
トム・ウージェック,491,4
ブルース・エイルワード,492,2
バサーム・タリク,493,1
カディジャ・ブア,494,1
セヴリーヌ・オトセール,495,1
ミゲル・ニコレリス,496,2
モルガナ・ベイリー,497,1
ジョー・マディアス,498,1
サラ・バーグブライター,499,1
マチウ・リカール,500,1
ロバート・マガー,501,1
ロバート・スワン,502,1
タッソ・アゼベド,503,1
フレディ・ペセレリ,504,1
アジズ・アブ・サラ,505,1
ダニエレ・クエルチャ,506,1
アーシャ・デ・ボス,507,1
マイケル・ルービンスタイン,508,1
エリン・マッキーン,509,2
マンダノ,510,1
ブルーノ・トートゥラ,511,1
キャロル・ドウェック,512,1
ジェレミー・ハワード,513,1
ヴェルナ・マイヤーズ,514,1
デーヴ・トロイ,515,1
キャサリン・クランプ,516,1
トーマス・ヘルム,517,1
アナスタシア・テイラー＝リンド,518,1
ホゼ・ミゲル・ソコロフ,519,1
アカシュ・オデドラ,520,1
バーバラ・ナッターソン・ホロウィッツ,521,1
ライナー・ストラック,522,1
ベン・サンダース,523,1
オレン・ヤコボヴィッチ,524,1
エミリ・バルセティス,525,1
マーク・プロトキン,526,1
ロージー・キング,527,1
ジョー・ランドリーナ,528,1
ナンシー・フレイツ,529,1
ウィル・マーシャル,530,1
デイビッド・グラディ,531,1
ヴィンセント・ムーン、ナナ・ヴァスコンセロス,532,1
リアナ・ウェン,533,1
イーサン・ネーデルマン,534,1
ラマナン・ラクシュミーナラヤン,535,1
ハース＆ハーン,536,1
アレハンドロ・アラヴェナ,537,1
カレ・アンダーソン,538,1
アミーナ・グリブ・ファキム,539,1
アレサンドラ・オロフィーノ,540,1
ジェレミー・ハイマンズ,541,1
デブラ・ジャービス,542,1
フランス・ランティング,543,1
セルゲイ・ルパシン,544,1
キンバリー・モトリー,545,1
マーク・エイブラハムズ,546,1
ファビアン・クストー,547,1
ジョイ・サン,548,1
フレッド・スワニカー,549,1
スーザン・エトリンガー,550,1
キトラ・カハナ,551,2
ホルヘ・ソト,552,1
ミリアム・シディベ,553,1
ジェフ・イリフ,554,1
グレン・グリーンウォルド,555,1
ディリップ・ラーサ,556,1
ピア・マンチーニ,557,1
ミーガン・ラムジー,558,1
トマ・ピケティ,559,1
ダリア・ファン・ベルケン,560,1
ナンシー・カンウィッシャー,561,1
ゲイル・リード,562,1
スーザン・コラントゥオーノ,563,1
モシェ・サフディ,564,1
マシュー・オライリー,565,1
